,dept/pgm,number,course title,area,class size,date,start time,end time
0,ANTHRO,213,Human Origins,I,100,MoWeFr,10:00 PM,10:00 PM
1,ANTHRO,309,Human Osteology,I,100,TuTh,10:00 PM,11:00 PM
2,ANTHRO,312,Human Population Biology,I,50,TuTh,9:00 PM,9:00 PM
3,ANTHRO,316,Forensic Anthropology,I,20,MoWe,10:00 PM,11:00 PM
4,ANTHRO,317,Human Evolution,I,50,MoWe,9:00 PM,10:00 PM
5,ANTHRO,359,The Human Microbiome and Health,I,100,MoWe,10:00 PM,9:00 PM
6,ASTRON,101,Modern Cosmology,I,100,MoWeFr,9:00 PM,9:00 PM
7,ASTRON,102,Milky Way Galaxy,I,20,MoWeFr,9:00 PM,9:00 PM
8,ASTRON,103,Solar System,I,50,MoWe,9:00 PM,10:00 PM
9,ASTRON,106,A Brief Journey through the Invisible Universe (taught also as PHYSICS 106),I,100,TuTh,9:00 PM,11:00 PM
10,ASTRON,111,Introduction to Astrobiology,I,50,MoWeFr,8:00 PM,9:00 PM
11,ASTRON,120,Highlights of Astronomy,I,20,MoWe,9:00 PM,10:00 PM
12,ASTRON,220-1,Introduction to Astrophysics I: Life Cycle of Stars and Planets,I,50,MoWeFr,10:00 PM,11:00 PM
13,ASTRON,220-2,Introduction to Astrophysics II: Galactic Evolution and Cosmology,I,50,MoWeFr,10:00 PM,11:00 PM
14,ASTRON,305,Basics of Radio Astronomy,I,20,MoWeFr,10:00 PM,9:00 PM
15,ASTRON,390,Current Topics in Astronomy,I,50,TuTh,10:00 PM,9:00 PM
16,BIOL SCI,100,Introduction to Biological Sciences at Northwestern (course for participants in Bio&ChemEXCEL),I,100,MoWeFr,9:00 PM,9:00 PM
17,BIOL SCI,103,Diversity of Life,I,50,MoWeFr,9:00 PM,10:00 PM
18,BIOL SCI,104,Plant-People Interactions,I,50,MoWeFr,9:00 PM,10:00 PM
19,BIOL SCI,109,The Nature of Plants,I,200,TuTh,10:00 PM,10:00 PM
20,BIOL SCI,150,Human Genetics,I,20,MoWeFr,10:00 PM,10:00 PM
21,BIOL SCI,160,Human Reproduction,I,100,MoWe,8:00 PM,10:00 PM
22,BIOL SCI,164,Basic Genetics & Evolution,I,50,MoWeFr,8:00 PM,9:00 PM
23,BIOL SCI,201,Molecular Biology,I,20,TuTh,10:00 PM,10:00 PM
24,BIOL SCI,202,Cell Biology,I,100,MoWe,10:00 PM,11:00 PM
25,BIOL SCI,203,Genetics and Evolution,I,100,MoWe,9:00 PM,11:00 PM
26,BIOL SCI,301,Principles of Biochemistry,I,20,TuTh,9:00 PM,10:00 PM
27,BIOL SCI,307,"Brain Structure, Function, and Evolution",I,50,MoWeFr,8:00 PM,10:00 PM
28,BIOL SCI,310,Human Physiology,I,20,MoWeFr,10:00 PM,9:00 PM
29,BIOL SCI,333,Plant-Animal Interactions,I,50,MoWe,8:00 PM,10:00 PM
30,BIOL SCI,354,Quantitative Analysis of Biology,I,100,TuTh,9:00 PM,10:00 PM
31,BIOL SCI,359,Quantitative Experimentation in Biology,I,100,MoWe,9:00 PM,9:00 PM
32,BIOL SCI,377,The Human Microbiome,I,50,TuTh,9:00 PM,11:00 PM
33,BIOL SCI,381,Stem Cells and Regengeration,I,20,TuTh,9:00 PM,10:00 PM
34,BIOL SCI,393,Human Genomics,I,20,MoWe,10:00 PM,10:00 PM
35,CHEM,131,General Chemistry 1,I,50,MoWeFr,8:00 PM,11:00 PM
36,CHEM,132,General Chemistry 2,I,20,MoWe,9:00 PM,9:00 PM
37,CHEM,151,Accelerated General Chemistry 1,I,50,MoWeFr,9:00 PM,9:00 PM
38,CHEM,152,Accelerated General Chemistry 2,I,50,MoWe,10:00 PM,10:00 PM
39,CHEM,171,Advanced General Inorganic Chemistry,I,20,MoWeFr,9:00 PM,10:00 PM
40,CHEM,172,Advanced General Physical Chemistry,I,50,MoWe,10:00 PM,10:00 PM
41,CHEM,201,Chemistry of Nature & Culture,I,100,MoWeFr,9:00 PM,11:00 PM
42,CHEM,212-1,Organic Chemistry (primarily for chemistry majors and ISP students),I,200,MoWeFr,10:00 PM,10:00 PM
43,CHEM,212-2,Organic Chemistry (primarily for chemistry majors and ISP students),I,100,MoWe,10:00 PM,11:00 PM
44,CHEM,212-3,Organic Chemistry (primarily for chemistry majors and ISP students),I,100,TuTh,8:00 PM,9:00 PM
45,CHEM,215-1,Introductory Organic Chemistry I,I,50,MoWe,10:00 PM,10:00 PM
46,CHEM,215-2,Introductory Organic Chemistry II,I,50,MoWeFr,10:00 PM,11:00 PM
47,CHEM,215-3,Advanced Organic Chemistry,I,100,TuTh,9:00 PM,10:00 PM
48,CHEM,360,Nanopatterning,I,100,MoWeFr,9:00 PM,9:00 PM
49,CIV ENV,203,Earth in the Anthropocene,I,100,MoWeFr,10:00 PM,9:00 PM
50,COG SCI,210,Language & the Brain,I,100,MoWe,8:00 PM,11:00 PM
51,CSD,112,Scientific Exploration of Communication,I,200,TuTh,10:00 PM,10:00 PM
52,CSD,202,Neurobiology of Communication,I,100,MoWeFr,10:00 PM,11:00 PM
53,CSD,301,Anatomy and Physiology of the Vocal Mechanism,I,20,MoWeFr,8:00 PM,9:00 PM
54,CSD,302,Anatomy and Physiology of the Peripheral Hearing Mechanism,I,50,MoWeFr,9:00 PM,10:00 PM
55,CSD,303,Brain and Cognition; with PSYCH 327,"I,III",20,MoWe,9:00 PM,11:00 PM
